Cycle_Index,Test_Time(s),Date_Time,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),Internal_Resistance(Ohm),AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Charge_Time(s),DisCharge_Time(s),Vmax_On_Cycle(V)
1,14099.40759,12/08/2010 16:36:20,-0.002233554,3.312513113,0.907158611,0.930802442,3.651382474,3.470161571,0.09912134,0,0,7643.235651,6096.113389,4.200713158
2,28287.61009,12/08/2010 20:32:50,-0.002053607,3.328388214,1.83683948,1.855076458,7.383913837,6.913002939,0.101375766,0,0,7774.814344,6053.317075,4.200713158
3,42388.88876,12/09/2010 00:27:52,-0.002053607,3.32093668,2.760824538,2.780006842,11.09560662,10.36173923,0.099933811,0,0,7683.836015,6057.370353,4.200551033
4,56457.55389,12/09/2010 04:22:22,-0.002233554,3.322070599,3.684992419,3.702834536,14.8038163,13.80283987,0.099933811,0,0,7664.652904,6043.934877,4.200551033
5,70479.42905,12/09/2010 08:16:06,-0.001873659,3.347503185,4.604894727,4.615028046,18.49601246,17.19681869,0.103090651,0,0,7687.395254,5974.412532,4.200713158
6,84491.87211,12/09/2010 12:09:39,-0.002053607,3.349123001,5.515278804,5.52365623,22.15722238,20.57644904,0.103902385,0,0,7701.348788,5951.006631,4.200713158
7,98459.09074,12/09/2010 16:02:28,-0.002413501,3.348799229,6.423731105,6.430918329,25.80934213,23.95276275,0.10299778,0,0,7665.036,5942.113447,4.200713158
8,112370.4375,12/09/2010 19:54:21,-0.001873659,3.360138416,7.330125926,7.33323493,29.45456195,27.30738754,0.101467177,0,0,7641.351412,5909.912392,4.200713158
9,126297.0486,12/09/2010 23:46:29,-0.002233554,3.343453407,8.232081742,8.238501646,33.08459429,30.67723843,0.102278911,0,0,7637.680535,5928.856299,4.200551033
10,140189.9101,12/10/2010 03:38:03,-0.002233554,3.337135792,9.137450779,9.144866855,36.72145409,34.05312892,0.100655437,0,0,7596.950683,5935.857465,4.200551033
11,154035.5977,12/10/2010 07:28:50,-0.002233554,3.357222795,10.04202508,10.0436593,40.35384904,37.39586383,0.102371223,0,0,7599.012752,5886.586093,4.200713158
12,167955.03,12/10/2010 11:20:51,-0.002233554,3.358356714,10.93954056,10.93997319,43.96661901,40.72835925,0.10299778,0,0,7688.626228,5870.722927,4.200713158
13,181806.1991,12/10/2010 15:11:43,-0.002233554,3.357870579,11.83603565,11.83558537,47.57385623,44.05872881,0.101742402,0,0,7624.973171,5866.11794,4.200713158
14,195622.5476,12/10/2010 19:02:01,-0.002233554,3.3585186,12.73084748,12.72939836,51.17384218,47.38211598,0.102371223,0,0,7602.259866,5854.02378,4.200713158
15,209510.341,12/10/2010 22:53:30,-0.001873659,3.349933147,13.6237543,13.62408294,54.76815756,50.71099264,0.100564755,0,0,7668.128188,5859.575321,4.200713158
16,223335.553,12/11/2010 02:43:57,-0.002413501,3.344911337,14.51986267,14.52085863,58.37046963,54.05019852,0.102812529,0,0,7591.763108,5873.374218,4.200551033
17,237134.7526,12/11/2010 06:33:57,-0.002233554,3.342481375,15.41667896,15.41802289,61.97448723,57.39142344,0.100564755,0,0,7563.095143,5876.029759,4.200551033
18,250918.2236,12/11/2010 10:23:42,-0.002233554,3.341509581,16.31349143,16.31478977,65.57734597,60.73138901,0.101284519,0,0,7550.219733,5873.190528,4.200551033
19,264712.1046,12/11/2010 14:13:37,-0.002233554,3.338755608,17.21014435,17.21183243,69.17885303,64.07287828,0.102094792,0,0,7558.93953,5874.874797,4.200551033
20,278502.1624,12/11/2010 18:03:29,-0.002233554,3.338269711,18.10702737,18.10856764,72.78102756,67.41402976,0.09912134,0,0,7557.206225,5872.799335,4.200551033
