Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,30.00000079,12/16/2010 12:41:54,30.00000138,1,1,0,3.667274714,0,0,0,0,0,0,0,0,0
2,60.01493966,12/16/2010 12:42:25,60.01494025,1,1,0,3.667112589,0,0,0,0,-3.24249E-05,0,0,0,0
3,90.03016546,12/16/2010 12:42:55,90.03016603,1,1,0,3.6674366,0,0,0,0,3.23772E-05,0,0,0,0
4,120.0137715,12/16/2010 12:43:25,120.0137721,1,1,0,3.6674366,0,0,0,0,-3.23772E-05,0,0,0,0
5,150.0294331,12/16/2010 12:43:55,30.01525067,2,1,0.550024807,3.791684151,0.004585603,0,0.017319139,0,0.000647974,0,0,0,0
6,180.0441798,12/16/2010 12:44:25,60.0299973,2,1,0.550024807,3.808369398,0.009171182,0,0.034747819,0,0.000388813,0,0,0,0
7,210.0611034,12/16/2010 12:44:55,90.04692106,2,1,0.550204754,3.818898678,0.013757119,0,0.052238151,0,0.000226784,0,0,0,0
8,240.0742422,12/16/2010 12:45:25,120.0600598,2,1,0.550024807,3.826350451,0.018342425,0,0.069766826,0,0.000162029,0,0,0,0
9,270.0892492,12/16/2010 12:45:55,150.0750667,2,1,0.550024807,3.832668066,0.02292809,0,0.087328294,0,0.000129604,0,0,0,0
10,300.1042603,12/16/2010 12:46:25,180.0900778,2,1,0.550204754,3.838013649,0.027513717,0,0.104916024,0,0.000129557,0,0,0,0
11,330.1192866,12/16/2010 12:46:55,210.1051041,2,1,0.549844861,3.842711449,0.032099321,0,0.122527097,0,6.48022E-05,0,0,0,0
12,360.1343212,12/16/2010 12:47:25,240.1201388,2,1,0.550024807,3.847409248,0.036684909,0,0.14015947,0,9.71794E-05,0,0,0,0
13,390.1493097,12/16/2010 12:47:55,270.1351272,2,1,0.550204754,3.851783037,0.041270502,0,0.157811707,0,0.000129604,0,0,0,0
